epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1050.42,1.79142,2.20583,1.69322,0.5291,0.72073,0.59464,0.2575,1.60974,2.17064,1.86034,0.000663212,0.000663212,0.000663212
2,2101.98,1.67136,1.74365,1.59671,0.5737,0.72886,0.55247,0.26198,1.48038,2.21893,1.69698,0.00128599,0.00128599,0.00128599
3,3153.87,1.64926,1.59637,1.59469,0.685,0.65468,0.68186,0.34672,1.56115,1.56774,1.77226,0.00186477,0.00186477,0.00186477
4,4198.9,1.59885,1.52031,1.59709,0.71663,0.83359,0.77155,0.39231,1.40579,1.42082,1.65181,0.001802,0.001802,0.001802
5,5257.22,1.55634,1.44323,1.54964,0.66017,0.81997,0.74162,0.41493,1.28994,1.28751,1.60126,0.001736,0.001736,0.001736
6,6317.93,1.51866,1.36113,1.54537,0.61919,0.82148,0.73735,0.38213,1.3413,1.26789,1.62574,0.00167,0.00167,0.00167
7,7383.93,1.49869,1.32954,1.51186,0.65378,0.76248,0.70222,0.33277,1.58496,1.45812,1.71076,0.001604,0.001604,0.001604
8,8444.5,1.47739,1.31128,1.50205,0.64707,0.83767,0.70873,0.38106,1.30921,1.198,1.54868,0.001538,0.001538,0.001538
9,9507.32,1.4622,1.27759,1.48526,0.67838,0.7882,0.72889,0.37982,1.28901,1.19784,1.56025,0.001472,0.001472,0.001472
10,10580.8,1.41846,1.24083,1.46524,0.71853,0.86122,0.77892,0.44317,1.19169,1.05673,1.50685,0.001406,0.001406,0.001406
11,11656,1.42351,1.18588,1.45286,0.73271,0.85846,0.82345,0.46589,1.33726,1.03748,1.58788,0.00134,0.00134,0.00134
12,12725.2,1.41944,1.18992,1.45391,0.78532,0.8412,0.85757,0.52397,1.19806,0.99693,1.49763,0.001274,0.001274,0.001274
13,13784.2,1.36016,1.12774,1.44766,0.71247,0.8847,0.76086,0.46626,1.21125,1.08348,1.50043,0.001208,0.001208,0.001208
14,14840.8,1.34743,1.13776,1.42885,0.77912,0.88502,0.87726,0.56183,1.14466,0.93257,1.45715,0.001142,0.001142,0.001142
15,15899.3,1.37013,1.12457,1.4298,0.81735,0.89107,0.89341,0.536,1.19857,0.90818,1.49334,0.001076,0.001076,0.001076
16,16961,1.32981,1.08622,1.41117,0.76985,0.91982,0.85905,0.55139,1.15346,0.9574,1.45931,0.00101,0.00101,0.00101
17,18017.6,1.32556,1.10438,1.40636,0.79263,0.90015,0.90912,0.58146,1.18324,0.92207,1.4678,0.000944,0.000944,0.000944
18,19075.7,1.30461,1.03564,1.39128,0.78375,0.9289,0.89532,0.57005,1.19054,0.84126,1.48496,0.000878,0.000878,0.000878
19,20133,1.27825,1.03872,1.38221,0.77181,0.90469,0.8823,0.55937,1.15499,0.89545,1.45007,0.000812,0.000812,0.000812
20,21192.2,1.27232,1.01978,1.37938,0.85158,0.92877,0.93243,0.61897,1.11525,0.78467,1.41554,0.000746,0.000746,0.000746
21,22228.7,1.16631,0.84852,1.41252,0.81003,0.92249,0.90027,0.57261,1.21296,0.79784,1.48825,0.00068,0.00068,0.00068
22,23268.8,1.16776,0.80512,1.41287,0.83828,0.90967,0.9127,0.55765,1.29093,0.82988,1.55751,0.000614,0.000614,0.000614
23,24306.8,1.14525,0.78262,1.3909,0.8617,0.89864,0.93761,0.60174,1.19567,0.76326,1.47919,0.000548,0.000548,0.000548
24,25347.4,1.1373,0.75807,1.37131,0.87441,0.91679,0.94163,0.63781,1.13119,0.72544,1.42898,0.000482,0.000482,0.000482
25,26389,1.09287,0.759,1.36165,0.8658,0.91749,0.94471,0.65006,1.09289,0.70706,1.41461,0.000416,0.000416,0.000416
26,27439.9,1.06527,0.71986,1.33171,0.87163,0.92447,0.9457,0.64908,1.10974,0.68012,1.4209,0.00035,0.00035,0.00035
27,28488.3,1.06962,0.69293,1.34392,0.91132,0.90169,0.95747,0.67433,1.06463,0.6454,1.38319,0.000284,0.000284,0.000284
28,29540.7,1.04593,0.69183,1.30782,0.89386,0.91731,0.9539,0.66801,1.08145,0.65667,1.38637,0.000218,0.000218,0.000218
29,30608.7,1.019,0.66571,1.29938,0.89949,0.90166,0.95378,0.66646,1.07185,0.6579,1.39625,0.000152,0.000152,0.000152
30,31678.3,1.02106,0.64645,1.29032,0.90314,0.91982,0.95311,0.6791,1.06439,0.6304,1.37368,8.6e-05,8.6e-05,8.6e-05
